2014-02-08 20:46:32: INFO     @ <pyramid.phasemap>:    Calling make_color_wheel
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling __init__
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling __init__
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Created <pyramid.projector.SimpleProjector object at 0x0A8519F0>
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Created <pyramid.projector.SimpleProjector object at 0x0A8519F0>
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling as function
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    mode == vector
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling _vector_field_projection
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __neg__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Adding two PhaseMap objects
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling display_phase
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling as function
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    mode == vector
2014-02-08 20:46:43: INFO     @ <pyramid.projector>:    Calling _vector_field_projection
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __neg__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Adding two PhaseMap objects
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __isub__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Adding an offset
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:43: INFO     @ <pyramid.phasemap>:    Calling display_phase
2014-02-08 20:46:44: INFO     @ <pyramid.projector>:    Calling as function
2014-02-08 20:46:44: INFO     @ <pyramid.projector>:    mode == vector
2014-02-08 20:46:44: INFO     @ <pyramid.projector>:    Calling _vector_field_projection
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __neg__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Adding two PhaseMap objects
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:44: INFO     @ <pyramid.phasemap>:    Calling display_phase
2014-02-08 20:46:45: INFO     @ <pyramid.projector>:    Calling as function
2014-02-08 20:46:45: INFO     @ <pyramid.projector>:    mode == vector
2014-02-08 20:46:45: INFO     @ <pyramid.projector>:    Calling _vector_field_projection
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __neg__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Adding two PhaseMap objects
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __isub__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __sub__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __add__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Adding an offset
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling __str__
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Created PhaseMap(a=1.0, dim=(128, 128))
2014-02-08 20:46:45: INFO     @ <pyramid.phasemap>:    Calling display_phase
2014-02-08 20:46:47: INFO     @ <pyramid.projector>:    Calling __init__
2014-02-08 20:46:47: INFO     @ <pyramid.projector>:    Calling __init__
2014-02-08 20:46:47: INFO     @ <pyramid.projector>:    Created <pyramid.projector.SimpleProjector object at 0x0B117190>
